	Mz	Description
132	337.27	"Triton, reduced, [AB2+Na]+, [C15H30O][C2H4O]n, 101R Detergents"
133	338.34	"Erucamide, [M+H]+, C22H43NO, Erucamide, (Cis-13-docosenoic amide)"
134	339.25	"Triton, [AB3+H]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
135	347.18	"PPG, [A5B+K]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
136	349.18	"PEG, [A7B+Na]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
137	353.27	"Triton, [AB3+H]+, [C15H24O][C2H4O]n, 101 Detergents"
138	355.07	"Polysiloxane, [M+H-CH4]+, [C2H6SiO]5, Polysiloxane, (neutral methane loss from m/z 371)"
139	355.37	", [M-Cl]+, C22H47N2OCl, Palmitamidopropyl-trimonium chloride, personal care products additive"
140	360.32	"Erucamide, [M+Na]+, C22H43NO, Erucamide, (Cis-13-docosenoic amide)"
141	361.23	"Triton, [AB3+Na]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
142	365.16	"PEG, [A7B+K]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
143	367.27	"PPG, [A6B+H]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
144	367.28	"Triton, reduced, [AB3+Na]+, [C14H28O][C2H4O]n, X-100R, X-114R, X-405R, or X-45R Detergents"
145	368.43	"BTAC-228, [M-Cl]+, C25H54NCl, Behentrimonium chloride, personal care product additive"
146	371.10	"Polysiloxane, [M+H]+, [C2H6SiO]5, Polysiloxane, followed by m/z 388"
147	371.23	"PEG, [A8B+H]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
148	371.32	"DEHA, [M+H]+, C22H42O4, Bis(2-ethylhexyl) adipate, plasticizer"
149	371.32	"DOA, [M+H]+, C22H42O4, Dioctyl adipate, plasticizer"
150	375.25	"Triton, [AB3+Na]+, [C15H24O][C2H4O]n, 101 Detergents"
151	379.09	"4-HCCA, [M2+H]+, C10H7NO3, matrix cluster, dimer"
152	381.30	"Triton, reduced, [AB3+Na]+, [C15H30O][C2H4O]n, 101R Detergents"
153	383.28	"Triton, [AB4+H]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
154	388.13	"Polysiloxane, [M+NH4]+, [C2H6SiO]5, Polysiloxane, (see m/z 371)"
155	389.25	"PPG, [A6B+Na]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
156	391.28	"Diisooctyl phthalate, [M+H]+, C24H38O4, Diisooctyl phthalate, plasticiser"
157	393.21	"PEG, [A8B+Na]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
158	397.29	"Triton, [AB4+H]+, [C15H24O][C2H4O]n, 101 Detergents"
159	405.22	"PPG, [A6B+K]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
160	405.26	"Triton, [AB4+Na]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
161	409.18	"PEG, [A8B+K]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
162	411.31	"Triton, reduced, [AB4+Na]+, [C14H28O][C2H4O]n, X-100R, X-114R, X-405R, or X-45R Detergents"
163	413.27	"Diisooctyl phthalate, [M+Na]+, C24H38O4, Diisooctyl phthalate, plasticiser"
164	415.25	"PEG, [A9B+H]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
165	419.28	"Triton, [AB4+Na]+, [C15H24O][C2H4O]n, 101 Detergents"
166	425.31	"PPG, [A7B+H]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
167	425.32	"Triton, reduced, [AB4+Na]+, [C15H30O][C2H4O]n, 101R Detergents"
168	427.31	"Triton, [AB5+H]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
169	429.09	"Polysiloxane, [M+H-CH4]+, [C2H6SiO]6, Polysiloxane, (neutral methane loss from m/z 445)"
170	429.24	"Diisooctyl phthalate, [M+K]+, C24H38O4, Diisooctyl phthalate, plasticiser"
171	437.24	"PEG, [A9B+Na]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
172	441.01	"4-HCCA, [M3+63Cu(I)]+, C10H7NO3, matrix-copper adduct, together with m/z 443"
173	441.32	"Triton, [AB5+H]+, [C15H24O][C2H4O]n, 101 Detergents"
174	443.01	"4-HCCA, [M3+65Cu(I)]+, C10H7NO3, matrix-copper adduct, together with m/z 443"
175	445.12	"Polysiloxane, [M+H]+, [C2H6SiO]6, Polysiloxane, followed by m/z 462"
176	447.29	"PPG, [M+H]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
177	449.29	"Triton, [AB5+Na]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
178	449.39	"DCU, [M2+H]+, C13H24N2O, N,N'-Dicyclohexylurea"
179	453.21	"PEG, [A9B+K]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
180	453.34	"nylon , [M+H]+, C24H44N4O4, Cyclic oligomer of polyamide 66, (adipic acid/hexylmethylene diamine condensation) "
181	454.29	"Diisooctyl phthalate, [M+CH3CN+Na]+, C24H38O4, Diisooctyl phthalate, plasticiser"
182	455.33	"Triton, reduced, [AB5+Na]+, [C14H28O][C2H4O]n, X-100R, X-114R, X-405R, or X-45R Detergents"
183	459.28	"PEG, [A10B+H]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
184	462.15	"Polysiloxane, [M+NH4]+, [C2H6SiO]6, Polysiloxane (see m/z 445)"
185	463.27	"PPG, [A7B+K]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
186	463.30	"Triton, [AB5+Na]+, [C15H24O][C2H4O]n, 101 Detergents"
187	469.35	"Triton, reduced, [AB5+Na]+, [C15H30O][C2H4O]n, 101R Detergents"
188	471.33	"Triton, [AB6+H]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
189	481.26	"PEG, [A10B+Na]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
190	483.35	"PPG, [A8B+H]+, [C3H6O]nH2O, Polypropylene glycol, ubiquitous polyether"
191	485.35	"Triton, [AB6+H]+, [C15H24O][C2H4O]n, 101 Detergents"
192	493.31	"Triton, [AB6+Na]+, [C14H22O][C2H4O]n, X-100, X-114, X-405, or X-45 Detergents"
193	494.57	"DPDMA, [M-Cl]+, C34H72NCl, Dipalmityldimethylammonium chloride, catalyst, personal care products additive"
194	497.24	"PEG, [A10B+K]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
195	499.36	"Triton, reduced, [AB6+Na]+, [C14H28O][C2H4O]n, X-100R, X-114R, X-405R, or X-45R Detergents"
196	503.11	"Polysiloxane, [M+H-CH4]+, [C2H6SiO]7, Polysiloxane, (neutral methane loss from m/z 519)"
197	503.31	"PEG, [A11B+H]+, [C2H4O]nH2O, Polyethylene glycol, ubiquitous polyether"
